failure,error_count,task_hour,day_of_month,day_of_week,robot_id_length,software_version_length,product_code_type,error_severity,hourly_error_rate
0,14,21,15,3,15,12,2,12,1
0,13,15,14,0,15,25,5,13,0
0,14,14,27,3,15,30,4,13,0
0,14,4,24,3,15,32,1,14,0
1,19,10,18,2,15,22,3,19,1
1,17,23,1,4,15,25,1,18,1
0,13,16,8,1,15,27,4,12,0
1,10,16,28,3,15,22,2,10,0
0,10,11,17,3,15,32,4,12,0
0,13,18,13,2,15,32,2,13,0
1,19,18,23,3,15,24,1,20,1
0,11,15,8,4,15,20,1,13,0
0,15,13,11,2,15,22,1,12,1
0,13,9,17,5,15,30,2,11,0
0,13,16,31,0,15,27,4,13,0
0,10,13,3,0,15,28,3,12,0
0,11,0,7,2,15,17,1,13,0
0,13,11,12,5,15,27,4,13,0
0,10,11,1,3,15,22,3,12,0
0,12,13,25,0,15,31,4,13,0
1,19,12,11,3,15,28,2,21,1
0,13,11,14,3,15,15,2,13,0
0,13,23,30,5,15,22,2,13,0
0,12,19,14,3,15,26,4,13,0
0,12,8,14,2,15,26,2,12,0
0,11,19,7,5,15,12,3,13,0
0,14,5,18,0,15,19,3,14,1
0,12,0,10,3,15,28,1,13,1
0,13,6,6,6,15,22,2,13,0
0,13,6,2,0,15,27,4,13,0
0,11,1,1,2,15,32,3,13,0
1,16,13,13,0,15,20,1,19,1
0,14,13,12,2,15,26,5,13,1
0,12,12,4,4,15,25,3,13,0
1,21,16,13,4,15,18,5,18,0
0,13,19,18,0,15,25,5,13,0
0,12,8,25,2,15,25,2,11,0
0,14,11,31,4,15,18,3,12,1
0,13,11,21,2,15,31,4,12,0
0,11,9,27,3,15,24,4,13,0
0,13,17,2,1,15,27,4,13,0
0,13,10,20,0,15,24,3,12,1
0,12,13,23,2,15,30,1,13,1
0,10,13,5,2,15,28,1,11,1
0,13,11,2,5,15,27,4,13,0
0,14,1,10,4,15,20,5,14,0
0,11,4,1,0,15,22,3,13,0
0,15,11,15,4,15,26,1,11,0
0,13,9,31,3,15,27,4,13,0
0,13,10,2,6,15,24,3,12,1
0,12,16,7,2,15,19,5,13,0
0,11,21,14,0,15,19,4,12,0
0,13,3,14,0,15,27,4,13,0
0,11,1,9,0,15,32,1,11,0
0,11,14,8,1,15,32,4,12,1
0,12,10,17,5,15,22,2,12,0
0,13,8,5,1,15,26,5,13,0
0,11,13,26,4,15,32,1,12,0
0,13,1,1,3,15,21,3,13,0
0,13,19,14,2,15,14,4,12,0
0,14,14,14,3,15,17,1,13,0
0,13,10,4,2,15,27,4,13,0
0,12,13,11,0,15,24,3,12,0
0,13,16,12,0,15,22,2,12,1
0,13,4,4,3,15,22,2,13,0
0,11,3,18,2,15,27,4,13,0
0,15,2,10,3,15,25,1,11,0
0,14,21,11,3,15,28,1,12,0
0,13,19,5,2,15,18,3,11,1
0,11,18,24,6,15,30,2,13,0
0,10,18,9,3,15,25,2,12,0
0,15,22,23,2,15,17,4,12,0
0,12,22,16,3,15,22,2,13,0
0,12,12,13,4,15,26,3,12,0
1,18,5,23,3,15,29,1,18,1
0,14,10,29,2,15,24,5,12,0
0,14,13,4,4,15,32,1,14,0
0,13,13,11,4,15,27,4,13,0
0,13,23,9,2,15,27,5,13,0
0,14,19,4,2,15,26,4,13,0
0,14,1,15,5,15,29,3,11,1
0,13,21,16,1,15,22,2,13,0
0,12,6,6,2,15,21,1,12,1
0,15,14,7,3,15,27,1,13,0
0,13,13,9,5,15,22,2,13,0
0,13,12,2,0,15,32,3,13,1
0,12,17,17,2,15,30,2,13,1
0,13,21,31,5,15,22,3,13,0
0,13,10,20,4,15,26,4,13,1
0,13,6,27,6,15,22,2,13,0
0,14,11,25,4,15,32,1,14,0
0,11,15,24,2,15,27,5,13,0
0,13,15,22,4,15,22,2,13,0
0,11,12,9,0,15,21,1,12,0
0,14,8,2,1,15,32,1,14,0
0,12,10,17,2,15,19,2,13,0
0,14,14,19,1,15,28,5,11,0
0,10,5,17,0,15,23,3,12,0
0,14,10,8,3,15,24,1,12,0
1,17,10,19,3,15,11,2,19,1
0,12,15,29,1,15,28,2,11,0
0,12,13,21,3,15,23,1,13,0
0,11,11,24,6,15,24,3,12,0
0,12,18,16,4,15,16,4,13,0
0,12,6,7,3,15,27,2,13,1
0,11,16,23,2,15,27,3,13,0
0,10,21,31,3,15,18,1,11,0
1,10,6,27,6,15,22,2,10,0
0,12,19,11,4,15,28,2,13,0
0,12,22,9,5,15,18,2,11,1
0,10,9,17,1,15,25,3,12,0
0,13,13,23,4,15,27,4,13,0
0,13,9,31,3,15,27,4,13,0
0,14,13,2,5,15,26,3,12,0
0,13,8,5,1,15,26,5,13,0
0,13,16,23,1,15,9,5,13,0
0,13,13,17,2,15,27,4,13,0
0,15,12,24,2,15,27,2,12,1
0,11,14,12,3,15,20,1,12,0
0,12,9,24,1,15,25,2,12,1
0,13,11,12,3,15,27,4,13,0
0,13,11,12,2,15,29,2,14,0
0,13,10,13,1,15,26,5,13,0
0,13,10,12,0,15,18,3,13,0
0,11,15,16,0,15,17,4,12,0
0,14,13,13,2,15,32,2,11,1
0,13,0,8,0,15,27,4,13,0
0,14,12,10,3,15,24,2,13,0
0,14,17,10,2,15,32,1,14,0
0,14,10,26,5,15,32,1,14,0
0,11,8,14,4,15,23,3,13,0
0,14,8,5,4,15,25,2,13,0
0,12,12,11,3,15,17,4,12,0
0,12,11,14,3,15,26,3,13,0
0,11,14,21,0,15,21,3,12,1
0,10,16,13,5,15,15,4,14,1
0,15,10,18,3,15,22,4,12,1
0,11,12,8,2,15,24,1,13,1
0,13,17,9,2,15,27,4,13,0
0,13,11,2,2,15,26,5,13,0
0,14,20,23,3,15,32,1,14,0
0,13,6,20,2,15,22,2,13,0
0,12,12,22,2,15,16,3,12,1
0,13,3,1,5,15,25,2,13,1
0,13,19,5,2,15,19,5,11,0
0,13,11,4,2,15,27,4,13,0
0,11,17,11,0,15,19,4,12,1
0,11,13,7,3,15,29,1,14,1
0,14,5,22,5,15,25,4,13,0
0,10,15,30,5,15,28,3,12,1
0,13,10,14,1,15,27,2,14,0
0,14,6,16,3,15,25,4,11,0
0,13,23,4,2,15,22,2,13,0
0,11,9,28,2,15,23,1,12,0
0,13,12,31,5,15,28,3,13,0
0,13,12,17,5,15,21,2,12,1
0,13,13,18,6,15,22,2,13,0
0,12,9,1,6,15,21,2,14,1
0,11,10,15,1,15,28,4,12,0
0,12,18,5,6,15,24,1,12,0
1,19,1,23,2,15,24,5,20,1
0,14,10,3,1,15,25,1,13,1
0,13,14,27,4,15,22,2,13,0
0,12,20,20,1,15,32,3,13,0
0,12,13,5,0,15,27,3,13,0
1,19,9,4,3,15,24,4,19,1
0,10,10,15,0,15,28,4,14,0
0,13,11,21,2,15,22,2,13,0
0,12,11,28,1,15,21,5,12,0
0,13,3,2,0,15,26,5,13,0
1,18,21,8,3,15,23,1,18,1
0,12,13,9,0,15,30,3,11,0
0,11,6,25,2,15,28,1,12,0
0,13,10,24,4,15,15,2,13,0
0,15,8,1,3,15,25,3,12,0
0,13,22,29,6,15,22,2,13,0
0,13,8,9,5,15,27,4,13,0
0,13,18,20,1,15,22,2,13,0
0,13,12,10,6,15,21,3,13,0
0,13,8,7,3,15,27,4,13,0
0,13,16,16,4,15,22,2,13,0
0,12,12,1,2,15,22,2,13,0
1,18,8,8,6,15,19,1,17,1
0,12,9,13,2,15,27,2,12,0
0,12,4,21,4,15,31,5,12,0
0,12,14,9,3,15,24,4,13,0
0,13,5,24,3,15,23,5,13,0
0,13,11,15,3,15,27,4,13,0
0,13,19,20,0,15,18,1,13,1
0,14,11,16,2,15,23,2,12,1
0,11,0,28,2,15,32,4,12,0
0,13,21,3,3,15,27,4,13,0
0,13,8,23,1,15,22,2,13,0
0,11,17,11,4,15,29,2,13,0
0,13,9,15,1,15,15,2,13,0
0,12,11,12,4,15,21,1,14,1
0,13,17,25,5,15,25,4,12,0
0,13,8,14,5,15,20,1,12,1
0,17,8,20,4,15,24,5,12,0
0,13,9,22,1,15,26,5,13,0
0,13,23,4,2,15,22,2,13,0
0,10,7,26,4,15,18,1,11,1
0,16,10,26,4,15,14,2,12,0
0,15,12,23,3,15,28,1,12,0
0,10,4,16,3,15,28,3,13,1
0,11,7,10,2,15,22,2,13,1
0,11,3,16,2,15,27,5,13,0
0,10,13,23,2,15,20,3,11,1
0,14,9,10,6,15,27,3,13,0
0,13,19,25,1,15,19,3,14,1
0,13,7,16,0,15,26,2,12,0
0,13,12,16,2,15,20,4,13,1
0,13,12,23,5,15,22,2,13,0
0,13,16,19,1,15,27,4,13,0
0,13,14,15,5,15,9,5,13,0
1,10,20,2,1,15,22,2,10,0
1,19,10,15,4,15,27,4,20,0
0,14,21,25,1,15,29,4,13,0
0,14,8,17,2,15,30,3,12,1
1,18,5,14,3,15,20,1,17,1
0,15,13,9,3,15,31,4,13,0
0,12,17,1,3,15,17,2,13,0
0,11,7,10,1,15,27,1,13,0
0,11,8,10,1,15,32,3,12,1
0,12,0,7,2,15,25,2,12,0
0,13,11,16,5,15,27,4,13,0
0,13,9,12,1,15,26,5,13,0
0,13,9,14,5,15,27,4,13,0
0,13,12,23,5,15,22,2,13,0
0,13,9,6,3,15,17,1,13,1
0,15,3,27,1,15,26,3,12,0
0,12,13,23,4,15,28,3,12,0
0,14,7,28,5,15,19,3,11,0
0,13,21,26,2,15,29,2,11,0
0,14,20,8,2,15,25,2,12,0
1,22,11,12,2,15,32,4,20,1
0,11,13,4,3,15,26,2,13,0
0,12,17,18,0,15,19,5,12,1
0,13,9,17,5,15,27,4,13,0
0,13,13,17,1,15,26,4,12,0
0,14,17,3,3,15,17,2,12,0
1,10,0,15,0,15,22,2,10,0
0,12,20,5,3,15,32,4,13,0
0,14,7,8,1,15,26,3,12,0
0,14,10,11,2,15,21,5,12,0
0,12,12,17,2,15,31,2,11,0
0,10,18,6,3,15,25,3,12,1
0,11,8,18,1,15,32,1,13,1
0,15,10,15,2,15,30,3,12,1
0,13,14,6,3,15,28,1,12,1
0,11,11,14,4,15,20,1,12,1
1,19,11,19,3,15,22,1,19,1
0,13,16,16,0,15,19,1,13,0
1,18,15,1,2,15,15,4,20,1
0,13,12,7,5,15,27,4,13,0
0,13,3,14,6,15,22,2,13,0
0,11,10,12,5,15,25,3,12,0
0,11,15,1,0,15,21,5,12,1
0,16,12,23,4,15,22,3,11,0
0,11,3,16,1,15,27,3,13,0
0,14,20,1,3,15,28,3,13,0
0,13,12,17,2,15,22,1,12,1
0,13,12,10,3,15,24,3,13,0
1,18,14,16,1,15,30,3,18,1
0,14,9,7,5,15,27,1,12,0
0,11,21,9,1,15,26,2,14,0
0,12,12,7,2,15,21,2,13,0
1,19,14,11,2,15,18,4,20,1
0,12,6,16,1,15,19,3,12,1
0,16,14,1,0,15,25,2,14,0
0,13,19,17,5,15,26,5,13,0
0,12,9,6,4,15,30,3,11,0
0,13,13,6,5,15,28,1,14,0
0,13,8,1,6,15,27,4,13,0
0,11,11,29,1,15,19,2,12,0
0,13,19,14,0,15,24,2,11,0
0,13,15,22,4,15,20,1,12,0
0,12,19,5,4,15,30,3,13,0
0,12,17,22,2,15,28,3,12,1
0,13,8,8,4,15,27,4,13,0
0,10,15,12,3,15,20,1,13,1
0,14,13,28,3,15,32,1,14,0
0,14,5,22,1,15,22,4,13,0
0,13,12,23,5,15,22,2,13,0
0,13,18,31,2,15,31,4,13,1
1,20,4,10,0,15,29,2,21,1
0,14,20,20,3,15,27,3,14,1
0,13,13,16,4,15,22,2,13,0
0,11,13,18,6,15,21,1,13,1
0,14,19,13,5,15,32,1,14,0
1,17,15,9,2,15,15,2,20,0
0,12,9,5,2,15,26,3,11,0
0,12,5,7,1,15,17,1,12,0
0,12,8,6,3,15,25,3,12,1
0,12,13,18,2,15,20,3,12,0
0,13,9,2,1,15,27,4,13,0
0,12,21,16,6,15,22,2,12,0
0,12,12,11,3,15,28,3,12,0
0,13,10,4,2,15,16,4,13,0
0,12,5,21,4,15,23,3,13,0
0,11,4,11,1,15,27,1,13,0
1,20,10,7,3,15,31,3,19,1
0,13,16,14,3,15,27,4,13,0
0,11,6,31,2,15,32,4,12,0
0,12,2,13,4,15,28,1,12,1
0,12,7,17,4,15,12,2,12,0
0,16,13,11,3,15,24,4,13,0
0,12,17,15,1,15,9,5,12,0
0,13,13,16,5,15,28,5,13,0
1,10,12,2,5,15,22,2,10,0
0,12,11,23,1,15,26,2,11,0
0,13,17,27,6,15,21,1,13,0
0,13,16,31,5,15,27,4,13,0
1,15,10,1,1,15,32,4,18,0
0,11,18,7,2,15,22,2,13,1
0,16,14,16,3,15,29,3,13,0
0,12,15,15,0,15,11,3,11,0
0,13,13,30,2,15,27,4,13,0
0,13,12,7,5,15,27,4,13,0
0,13,6,11,3,15,27,5,12,0
0,14,7,17,5,15,24,2,12,0
0,12,14,1,4,15,18,2,13,1
0,13,12,17,3,15,15,1,12,0
0,11,15,1,2,15,23,3,13,1
0,13,19,27,2,15,22,2,13,0
0,13,0,15,4,15,30,3,13,1
0,13,16,8,1,15,25,5,13,0
0,11,3,16,4,15,24,4,13,0
0,12,7,29,2,15,31,1,12,1
0,12,4,9,5,15,22,3,12,0
0,13,18,17,4,15,23,2,14,0
0,10,12,31,3,15,24,2,12,1
1,22,7,25,0,15,16,1,18,0
1,18,19,1,4,15,26,3,21,1
0,13,12,19,2,15,25,4,12,0
0,14,22,3,0,15,20,4,13,0
0,9,6,8,4,15,21,4,14,0
0,13,6,2,4,15,32,5,13,0
0,14,9,18,4,15,29,1,12,1
0,12,18,22,4,15,28,3,12,1
0,10,11,10,5,15,19,4,11,0
0,12,12,10,4,15,24,4,12,1
0,12,9,20,3,15,28,2,13,0
0,13,16,13,2,15,21,3,12,1
0,13,5,27,6,15,22,2,13,0
0,12,7,29,2,15,30,2,13,0
0,11,14,14,4,15,22,4,11,0
0,11,18,4,2,15,25,3,12,0
0,13,9,10,4,15,16,2,12,0
1,19,17,6,0,15,32,4,17,1
0,13,10,11,6,15,27,4,13,0
1,10,3,14,6,15,22,2,10,0
0,13,7,19,3,15,20,2,12,0
0,10,13,8,4,15,23,3,13,0
0,13,20,23,4,15,26,4,11,0
0,13,9,18,6,15,27,4,13,0
0,13,21,16,4,15,27,4,13,0
0,11,15,14,2,15,19,4,13,1
0,13,12,16,0,15,27,4,13,0
0,13,13,31,2,15,26,2,13,0
0,13,15,2,4,15,16,2,13,0
0,13,10,5,6,15,20,2,13,0
0,12,10,13,5,15,15,2,12,0
0,14,16,10,4,15,20,3,13,1
0,13,7,2,0,15,27,4,13,0
0,13,17,4,3,15,22,2,13,0
0,10,11,15,2,15,20,3,13,1
1,10,0,15,0,15,22,2,10,0
0,13,11,9,2,15,9,5,13,0
1,18,18,6,3,15,21,2,18,1
1,16,10,17,5,15,30,3,17,1
0,13,10,23,4,15,22,2,13,0
0,11,14,15,5,15,29,1,12,0
0,12,17,2,2,15,18,3,12,0
0,13,12,17,5,15,27,4,13,0
0,11,10,16,5,15,18,4,12,0
0,15,11,6,4,15,24,2,12,0
0,12,16,15,4,15,32,2,13,0
0,12,5,1,0,15,22,2,13,0
0,13,16,20,3,15,29,2,13,0
0,13,10,18,4,15,27,4,13,0
0,13,9,28,5,15,26,5,13,0
0,13,3,1,2,15,24,3,11,0
0,12,10,18,1,15,27,4,13,0
0,12,13,25,4,15,26,5,13,0
0,10,19,19,6,15,17,3,12,0
1,17,9,26,3,15,27,1,20,1
0,11,2,5,3,15,23,2,12,0
0,15,13,7,2,15,32,4,15,0
0,12,2,29,1,15,27,4,12,0
0,13,16,31,5,15,27,4,13,0
0,13,17,28,5,15,22,2,13,0
0,12,16,24,4,15,13,1,12,0
0,13,22,1,6,15,27,4,13,0
0,13,13,20,6,15,23,3,11,0
1,18,6,10,1,15,32,3,19,1
0,10,7,8,4,15,24,4,14,0
0,13,14,4,2,15,27,4,13,0
0,13,4,28,3,15,22,2,13,0
0,11,16,10,0,15,20,3,12,0
1,19,7,14,5,15,27,1,21,1
0,12,21,20,4,15,27,5,11,0
0,13,9,31,6,15,15,2,13,0
0,14,14,20,5,15,32,2,12,0
0,12,13,12,3,15,21,2,12,0
0,14,16,19,1,15,31,1,14,0
0,14,18,26,2,15,15,3,12,0
1,19,10,21,0,15,17,1,17,1
0,12,15,27,4,15,22,2,12,0
0,11,11,12,3,15,25,1,12,1
0,13,6,7,3,15,27,4,13,0
0,13,13,19,2,15,29,5,11,0
0,15,17,20,2,15,21,4,12,0
0,14,7,1,2,15,27,4,12,0
0,13,13,23,2,15,20,2,13,0
0,10,18,23,3,15,27,1,13,0
1,17,10,23,3,15,28,1,19,1
0,11,11,7,4,15,29,2,11,1
0,12,10,6,1,15,22,3,11,0
0,12,14,12,2,15,19,2,12,0
0,14,10,9,1,15,31,1,14,0
1,18,18,25,2,15,24,5,18,0
0,14,5,17,0,15,27,1,13,0
0,13,20,2,1,15,22,2,13,0
0,12,17,27,4,15,26,2,12,0
0,11,9,10,0,15,18,2,12,0
0,15,18,3,3,15,32,4,15,0
0,9,9,8,3,15,31,2,13,1
0,13,0,1,0,15,23,3,11,1
0,10,15,6,0,15,28,3,13,0
0,13,19,18,6,15,22,2,13,0
0,11,2,1,2,15,27,2,11,1
0,12,9,8,2,15,24,2,13,1
0,13,13,21,5,15,27,4,13,0
0,13,14,1,6,15,21,4,12,0
0,15,12,31,5,15,13,2,12,0
0,13,23,22,3,15,27,4,13,0
0,14,1,11,0,15,27,3,14,1
0,13,20,8,1,15,20,5,12,0
0,12,9,10,4,15,26,3,13,0
0,14,8,7,3,15,30,3,13,0
0,13,0,14,3,15,24,5,13,0
1,22,10,6,4,15,18,2,19,1
0,12,9,4,5,15,19,4,13,0
0,15,11,18,0,15,18,2,12,0
0,8,11,22,4,15,12,1,13,0
0,13,13,15,5,15,24,5,13,1
1,21,16,19,1,15,20,2,20,1
0,13,19,8,4,15,24,3,13,1
0,13,17,24,1,15,27,4,13,0
0,13,19,17,5,15,22,2,13,0
0,13,9,1,1,15,26,5,13,0
1,20,1,5,1,15,25,2,17,1
0,13,10,31,4,15,19,4,13,0
0,11,10,17,3,15,25,5,13,0
0,14,10,8,1,15,22,5,13,0
0,14,9,27,6,15,32,1,14,0
0,13,5,13,5,15,20,3,12,1
0,10,20,1,4,15,24,2,12,0
0,12,19,14,3,15,24,1,12,0
0,14,21,27,2,15,32,1,14,0
0,12,11,11,1,15,27,4,12,0
0,12,10,11,3,15,22,3,13,0
0,12,15,23,0,15,20,3,12,0
0,13,9,6,4,15,27,4,13,0
0,11,6,14,3,15,19,3,11,1
0,12,11,22,1,15,28,2,14,0
1,19,23,16,1,15,28,4,18,0
0,10,12,24,2,15,18,2,12,1
0,13,4,31,6,15,26,5,13,0
0,11,16,19,1,15,27,2,11,0
0,13,9,28,2,15,27,4,13,0
0,9,12,9,2,15,26,1,12,0
0,10,14,26,5,15,31,4,13,0
0,11,6,8,5,15,17,1,12,0
0,11,12,5,2,15,22,4,13,1
0,13,12,27,6,15,25,5,13,0
0,13,8,15,2,15,23,2,13,0
0,13,19,23,3,15,28,2,13,0
0,11,1,8,2,15,21,3,13,0
0,12,8,12,6,15,32,2,11,0
0,10,16,11,6,15,27,1,14,1
0,13,13,26,4,15,32,4,12,0
0,12,10,12,2,15,15,2,12,1
0,13,16,2,4,15,27,4,13,0
0,13,13,26,2,15,30,1,12,0
0,13,17,12,5,15,22,2,13,0
0,13,20,2,1,15,22,2,13,0
0,15,16,16,2,15,24,4,12,0
0,12,7,21,2,15,17,3,12,0
0,15,12,21,4,15,17,4,13,0
0,13,14,19,4,15,19,2,13,0
0,13,19,25,4,15,22,2,13,0
0,11,8,9,2,15,23,3,12,1
0,11,13,6,2,15,26,3,13,0
0,13,15,26,5,15,15,2,13,0
0,13,17,16,4,15,22,2,13,0
0,13,15,23,4,15,15,2,13,0
0,12,21,13,0,15,24,3,13,0
0,13,6,4,4,15,24,1,12,0
0,12,23,31,1,15,24,5,12,0
0,9,7,7,3,15,27,5,12,0
0,14,17,10,4,15,27,3,12,0
